status	key	command
Conversion	Ctrl g	Cancel
Conversion	Ctrl h	Cancel
Conversion	Ctrl i	ConvertToFullKatakana
Conversion	Ctrl k	SegmentWidthShrink
Conversion	Ctrl l	SegmentWidthExpand
Conversion	Ctrl Left	SegmentFocusFirst
Conversion	Ctrl m	Commit
Conversion	Ctrl n	CommitOnlyFirstSegment
Conversion	Ctrl o	ConvertToHalfWidth
Conversion	Ctrl p	ConvertToFullAlphanumeric
Conversion	Ctrl Right	SegmentFocusLast
Conversion	Ctrl s	SegmentFocusLeft
Conversion	Ctrl Shift Space	InsertFullSpace
Conversion	Ctrl Space	InsertHalfSpace
Conversion	Ctrl t	ConvertToHalfAlphanumeric
Conversion	Ctrl u	ConvertToHiragana
Conversion	Ctrl Up	ConvertPrev
Conversion	Ctrl x	ConvertNext
Conversion	Ctrl z	Cancel
Conversion	Delete	Cancel
Conversion	Down	ConvertNext
Conversion	Eisu	ToggleAlphanumericMode
Conversion	End	SegmentFocusLast
Conversion	Enter	Commit
Conversion	ESC	Cancel
Conversion	F10	ConvertToHalfAlphanumeric
Conversion	F6	ConvertToHiragana
Conversion	F7	ConvertToFullKatakana
Conversion	F8	ConvertToHalfWidth
Conversion	F9	ConvertToFullAlphanumeric
Conversion	Hankaku/Zenkaku	IMEOff
Conversion	Henkan	CompositionModeHiragana
Conversion	Home	SegmentFocusFirst
Conversion	Shift Henkan	CompositionModeFullKatakana
Conversion	Left	SegmentFocusLeft
Conversion	PageDown	ConvertNextPage
Conversion	PageUp	ConvertPrevPage
Conversion	Right	SegmentFocusRight
Conversion	Shift Backspace	Cancel
Conversion	Shift Down	ConvertNextPage
Conversion	Shift ESC	Cancel
Conversion	Katakana	ConvertPrev
Conversion	Shift Left	SegmentWidthShrink
Conversion	Shift Muhenkan	ConvertToFullAlphanumeric
Conversion	Shift Right	SegmentWidthExpand
Conversion	Shift Space	ConvertPrev
Conversion	Shift Tab	ConvertPrev
Conversion	Shift Up	ConvertPrevPage
Conversion	Space	ConvertNext
Conversion	Tab	PredictAndConvert
Conversion	Up	ConvertPrev
Conversion	VirtualLeft	SegmentWidthShrink
Conversion	VirtualRight	SegmentWidthExpand
Conversion	VirtualEnter	CommitOnlyFirstSegment
DirectInput	Eisu	IMEOn
DirectInput	Hankaku/Zenkaku	IMEOn
DirectInput	Henkan	IMEOn
DirectInput	Shift Henkan	IMEOn
Precomposition	Backspace	Revert
Precomposition	Ctrl Backspace	Undo
Precomposition	Ctrl Shift Space	InsertFullSpace
Precomposition	Eisu	ToggleAlphanumericMode
Precomposition	Hankaku/Zenkaku	IMEOff
Precomposition	Henkan	CompositionModeHiragana
Precomposition	Shift Henkan	CompositionModeFullKatakana
Precomposition	Shift Space	InsertAlternateSpace
Precomposition	Space	InsertSpace
Prediction	Ctrl Delete	DeleteSelectedCandidate
Suggestion	Down	PredictAndConvert
Suggestion	Shift Enter	CommitFirstSuggestion
Precomposition	Ctrl Shift Insert	IMEOn
Precomposition	Ctrl Shift Delete	IMEOff
Precomposition	F15	CompositionModeHiragana
Composition	F15	CompositionModeHiragana
Conversion	F15	CompositionModeHiragana
Prediction	F15	CompositionModeHiragana
Suggestion	F15	CompositionModeHiragana
Precomposition	F16	CompositionModeFullKatakana
Composition	F16	CompositionModeFullKatakana
Conversion	F16	CompositionModeFullKatakana
Prediction	F16	CompositionModeFullKatakana
Suggestion	F16	CompositionModeFullKatakana
Precomposition	F17	CompositionModeHalfKatakana
Composition	F17	CompositionModeHalfKatakana
Conversion	F17	CompositionModeHalfKatakana
Prediction	F17	CompositionModeHalfKatakana
Suggestion	F17	CompositionModeHalfKatakana
Precomposition	F18	CompositionModeFullAlphanumeric
Composition	F18	CompositionModeFullAlphanumeric
Conversion	F18	CompositionModeFullAlphanumeric
Prediction	F18	CompositionModeFullAlphanumeric
Suggestion	F18	CompositionModeFullAlphanumeric
Precomposition	F19	CompositionModeHalfAlphanumeric
Composition	F19	CompositionModeHalfAlphanumeric
Conversion	F19	CompositionModeHalfAlphanumeric
Prediction	F19	CompositionModeHalfAlphanumeric
Suggestion	F19	CompositionModeHalfAlphanumeric
Composition	ASCII	InsertCharacter
Composition	Kanji	IMEOff
Composition	OFF	IMEOff
Composition	ON	IMEOn
Conversion	Kanji	IMEOff
Conversion	OFF	IMEOff
Conversion	ON	IMEOn
DirectInput	Kanji	IMEOn
DirectInput	ON	IMEOn
Precomposition	ASCII	InsertCharacter
Precomposition	Kanji	IMEOff
Precomposition	OFF	IMEOff
Precomposition	ON	IMEOn
